Provincia,,Localidad,ADSL,CABLEMODEM,,FIBRAOPTICA,4G,3G,,WIRELESS,
CHUBUT,,Las Plumas,--,--,,--,--,--,,,SI
,Paso de Indios,Cerro Cóndor,--,,--,--,--,,SI,--,
CHUBUT,Paso de Indios,Los Altares,,--,--,--,,,SI,SI,
CHUBUT,Paso de Indios,Paso de Indios,,--,--,--,,--,SI,,SI
,Rawson,Playa Magagna,,,--,--,,,--,SI,--
BUENOS AIRES,Bragado,,SI,SI,SI,,SI,SI,SI,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,SI,--
BUENOS AIRES,,General O'Brien,SI,--,,SI,SI,SI,,SI,--
BUENOS AIRES,Bragado,,--,SI,,,SI,--,SI,,--
,Bragado,La Limpia,--,,--,--,--,,--,--,--
BUENOS AIRES,Bragado,Máximo Fernández (Est. Juan F. Salaberry),,--,--,--,,,--,--,
BUENOS AIRES,,,SI,SI,,,--,--,,,--
BUENOS AIRES,,Olascoaga,--,--,,--,--,--,,,--
,Bragado,Warnes,,,--,--,,,--,SI,
BUENOS AIRES,Brandsen,Altamirano,,--,--,--,,--,SI,--,
BUENOS AIRES,,,--,--,,,SI,SI,,,--
BUENOS AIRES,Brandsen,,--,--,--,,SI,SI,--,,--
BUENOS AIRES,Brandsen,,--,--,--,,--,--,,--,--
BUENOS AIRES,,Barrio Parque Las Acacias,--,--,,--,--,--,,--,
BUENOS AIRES,Brandsen,Campos de Roca,,,--,--,,SI,--,,--
,Brandsen,Club de Campo Las Malvinas,--,,--,--,--,,--,,--
ENTRE RIOS,,Pueblo Moreno,--,--,,--,--,--,,--,
RIO NEGRO,,,--,--,,,--,--,,SI,--
BUENOS AIRES,,Coronel Brandsen,SI,SI,,SI,SI,SI,,SI,--
BUENOS AIRES,Brandsen,,--,--,--,,SI,--,,,--
,Brandsen,Jeppener,SI,,--,SI,SI,,SI,--,
,Brandsen,Oliden,,--,--,--,,--,SI,--,
