,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
BUENOS AIRES,Coronel Suárez,,6203050,- 0,- 0,,1.384,- 0,- 0,- 0,527,,
BUENOS AIRES,,,6203060,- 0,,,- 0,- 0,,- 0,,,
,Coronel Suárez,San José,6203070,,45,- 0,,,- 0,,- 0,751,
BUENOS AIRES,Coronel Suárez,Santa María,,- 0,18,- 0,,- 0,- 0,,- 0,483,
BUENOS AIRES,,,6203090,- 0,65,,550,- 0,- 0,- 0,,615,
BUENOS AIRES,,Villa La Arcadia,6203100,- 0,,- 0,72,- 0,,- 0,,,
BUENOS AIRES,Daireaux,Daireaux,,281,- 0,- 0,,194,50,,339,864,
,Daireaux,Salazar,6231060,,- 0,- 0,- 0,,- 0,- 0,79,79,
,Dolores,Dolores,,,10.215,1,,,- 0,325,- 0,,
BUENOS AIRES,Dolores,Sevigne,,- 0,- 0,- 0,,- 0,- 0,- 0,,1,
BUENOS AIRES,,,6245010,1.534,,,2.923,6,,,2.092,17.337,
BUENOS AIRES,Ensenada,,6245010,- 0,- 0,,- 0,- 0,- 0,,7,7,
BUENOS AIRES,Escobar,Belen de Escobar,,2.964,17.071,21,,333,1,- 0,,29.139,
,Escobar,El cazador,6252010,,971,- 0,2.226,,- 0,- 0,- 0,,
BUENOS AIRES,Escobar,Garín,,4.638,9.481,3,,2,1,- 0,11,17.558,
,Escobar,Ingeniero Maschwitz,,,4.227,3,,,- 0,,300,8.626,
BUENOS AIRES,Escobar,,6252010,- 0,- 0,,999,- 0,- 0,- 0,,,
BUENOS AIRES,,,6252010,533,,,13,2,,- 0,,4.954,
BUENOS AIRES,,Matheu,6252010,1.390,,2,1,3,,,58,3.970,
BUENOS AIRES,,,6260010,237,,,12,1,- 0,,153,6.892,
,Esteban Echeverría,Canning,6260010,,3.488,- 0,1.049,,- 0,- 0,,4.635,
BUENOS AIRES,Esteban Echeverría,El Jagüel,,- 0,6.691,- 0,,,1,- 0,,,
BUENOS AIRES,,,6260010,4,,,1.757,1,,- 0,77,9.048,
BUENOS AIRES,,Monte Grande,6260010,211,,61,24.799,70,,,312,53.145,
,Esteban Echeverría,Zona Aeropuerto Internacional Ezeiza,,,- 0,- 0,,,- 0,- 0,- 0,,
BUENOS AIRES,Exaltación de la Cruz,Arroyo de la Cruz,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
BUENOS AIRES,,,6266020,359,,,82,- 0,,- 0,- 0,447,
BUENOS AIRES,Exaltación de la Cruz,,6266040,2,7.166,,- 0,- 0,1,,- 0,7.171,
BUENOS AIRES,Exaltación de la Cruz,,Sin Datos,- 0,- 0,,- 0,- 0,,- 0,,84,
BUENOS AIRES,,Parada Orlando,6266050,- 0,,- 0,- 0,- 0,,- 0,30,,
BUENOS AIRES,Exaltación de la Cruz,Parada Robles - Pavón,,,- 0,- 0,,- 0,- 0,,- 0,2.944,
,Ezeiza,Aeropuerto Internacional Ezeiza,6270010,,- 0,3,4,,1,- 0,- 0,232,
BUENOS AIRES,,Canning,6270010,194,,1,1.030,1,,- 0,50,,
BUENOS AIRES,,,6270010,343,,,1.349,164,,- 0,,7.405,
BUENOS AIRES,,,6270010,540,13.930,,4.959,- 0,2,,92,19.536,
BUENOS AIRES,,La Unión,6270010,107,,1,823,- 0,,- 0,- 0,9.985,
BUENOS AIRES,Ezeiza,OTROS,,3,1,- 0,,- 0,- 0,- 0,,9,
,Ezeiza,Tristán Suarez,6270010,,10.640,5,982,,- 0,- 0,4,,
,Florencio Varela,Bosques,,,7.673,3,,,- 0,- 0,266,11.283,
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,,7,2.482,4,,- 0,- 0,,- 0,6.428,
BUENOS AIRES,,,6274010,661,,,22.792,263,,- 0,810,,
BUENOS AIRES,Florencio Varela,,6274010,13,7.558,,471,- 0,- 0,- 0,,,
BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,,2.505,5.087,- 0,,- 0,- 0,,- 0,8.499,
,Florencio Varela,La Capilla,6274010,,- 0,- 0,4,,- 0,- 0,- 0,4,
BUENOS AIRES,,la rotonda,6274010,357,,- 0,- 0,- 0,,- 0,,357,
BUENOS AIRES,Florencio Varela,,6274010,- 0,85,,264,- 0,- 0,- 0,- 0,,
,Florencio Varela,Villa San Luis,6274010,,350,- 0,- 0,,- 0,,- 0,350,
,Florencio Varela,Villa Santa Rosa,,31,4.100,1,,- 0,- 0,,- 0,4.358,
BUENOS AIRES,Florencio Varela,Villa Vatteone,,12,4.586,1,,- 0,- 0,- 0,,,
,Florentino Ameghino,Blaquier,,,- 0,- 0,,,1,- 0,,6,
BUENOS AIRES,Florentino Ameghino,,6277020,117,- 0,,297,- 0,- 0,,- 0,414,
BUENOS AIRES,,,6277030,- 0,,,- 0,- 0,,,2,2,
,General Alvarado,Comandante Nicanor Otamendi,6280010,,- 0,3,,,1,- 0,,,
BUENOS AIRES,General Alvarado,Mar del Sur,,- 0,- 0,2,,- 0,- 0,- 0,142,,
,General Alvarado,Mechongué,,,- 0,- 0,,,- 0,,3,259,
,General Alvarado,Miramar,6280040,,1.584,74,1,,1,,957,7.581,
BUENOS AIRES,,,6280005,- 0,,,- 0,- 0,,- 0,,1,
BUENOS AIRES,,Arribeños,6294010,305,,1,144,15,,- 0,,,
BUENOS AIRES,,Ascensión,6294020,1.200,,- 0,- 0,250,,,139,2.094,
BUENOS AIRES,General Arenales,,6294040,- 0,152,,282,- 0,- 0,,441,875,
,General Arenales,General Arenales,,,883,1,,,- 0,- 0,512,,
BUENOS AIRES,General Arenales,La Angelita,,26,- 0,- 0,,2,- 0,- 0,,95,
BUENOS AIRES,General Arenales,,6294070,- 0,15,,- 0,- 0,- 0,,95,110,
BUENOS AIRES,,,6301010,513,,,2,- 0,,- 0,894,2.922,
,General Belgrano,Gorchs,6301020,,- 0,- 0,- 0,,1,- 0,,,
,General Guido,General Guido,,,- 0,1,,,- 0,- 0,228,,
BUENOS AIRES,,Labarden,6308020,- 0,,- 0,- 0,- 0,,,72,72,
BUENOS AIRES,,,6315010,460,,,4.033,- 0,,- 0,- 0,4.988,
BUENOS AIRES,General La Madrid,,6322010,2.510,- 0,,1.148,74,- 0,- 0,265,,
BUENOS AIRES,,,6322030,- 0,,,- 0,- 0,,- 0,,16,
BUENOS AIRES,General Las Heras,General Las Heras  (Est. Las Heras),,272,889,3,,1,- 0,- 0,2,3.057,
,General Las Heras,Lozano,6329020,,- 0,- 0,- 0,,1,,- 0,1,
BUENOS AIRES,,,6329060,- 0,,,45,- 0,,- 0,,213,
BUENOS AIRES,General Lavalle,,6336020,- 0,358,,4,- 0,1,- 0,,,
BUENOS AIRES,,OTROS,Sin Datos,- 0,,- 0,1,- 0,,- 0,- 0,1,
BUENOS AIRES,,,6336030,- 0,,,201,22,,,3,226,
,General Lavalle,Chacras de San Clemente,6336020,,- 0,- 0,- 0,,- 0,- 0,1,,
,General Paz,Loma Verde,,,- 0,- 0,,,- 0,- 0,,,
BUENOS AIRES,General Paz,Ranchos,,1.243,- 0,11,,11,- 0,,1.313,3.131,
