,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
,General Villegas,Coronel Charlone,,,- 0,- 0,,,1,- 0,- 0,,
BUENOS AIRES,General Villegas,Emilio V. Bunge,,- 0,- 0,- 0,,- 0,1,,- 0,1,
,General Villegas,General Villegas  (Est. Villegas),,,24,- 0,,,1,- 0,46,3.799,
BUENOS AIRES,General Villegas,,6392080,368,- 0,,189,- 0,1,- 0,,616,
BUENOS AIRES,,,6392100,- 0,,,- 0,- 0,,- 0,,,
BUENOS AIRES,,Pichincha,6392070,- 0,,- 0,- 0,- 0,,,- 0,1,
BUENOS AIRES,Guaminí,,6399020,- 0,- 0,,- 0,- 0,- 0,,125,126,
,Guaminí,Guaminí,6399040,,- 0,- 0,75,,- 0,- 0,,,
,Guaminí,Laguna Alsina  (Est. Bonifacio),,198,- 0,- 0,,- 0,- 0,- 0,,445,
BUENOS AIRES,,,6399010,- 0,,,- 0,- 0,,,44,44,
BUENOS AIRES,,Garré,6399030,- 0,,- 0,288,- 0,,- 0,- 0,288,
,Hipólito Yrigoyen,Henderson,,,- 0,1,,,- 0,- 0,,,
BUENOS AIRES,Hurlingham,Hurlingham,,548,15.221,57,,65,- 0,- 0,296,,
BUENOS AIRES,,,6408010,122,,,13.068,1,,,72,20.515,
BUENOS AIRES,Hurlingham,,6408010,- 0,11,,16,- 0,- 0,- 0,351,378,
BUENOS AIRES,,,6410010,419,26.821,,22.279,122,3,- 0,199,,
BUENOS AIRES,,Ituzaingó Sur,6410010,- 0,,- 0,- 0,- 0,,- 0,,30,
BUENOS AIRES,Ituzaingó,OTROS,,2,- 0,- 0,,- 0,- 0,- 0,- 0,4,
,Ituzaingó,Villa Gobernador Udaondo,6410010,,8.796,9,3.253,,- 0,,338,12.417,
BUENOS AIRES,,Del Viso,6412010,- 0,,- 0,- 0,- 0,,- 0,,217,
BUENOS AIRES,,,6412010,2.429,,,12.224,482,,- 0,108,,
BUENOS AIRES,José C. Paz,,6412010,- 0,1.388,,- 0,- 0,- 0,,- 0,1.388,
BUENOS AIRES,,,6413010,- 0,,,89,- 0,,- 0,215,304,
BUENOS AIRES,Junín,Agustina,,- 0,- 0,- 0,,- 0,- 0,- 0,,8,
,Junín,Balneario Laguna de Gómez,6413030,,- 0,- 0,- 0,,- 0,- 0,8,,
,Junín,Fortín Tiburcio,6413040,,- 0,- 0,- 0,,- 0,- 0,69,69,
,Junín,Junín,,,18.285,87,,,1,,8.310,33.191,
BUENOS AIRES,,Laplacette,6413060,- 0,,- 0,1,- 0,,16,- 0,,
BUENOS AIRES,,,6413070,- 0,,,254,- 0,,- 0,,,
BUENOS AIRES,Junín,Saforcada,,- 0,- 0,- 0,,,- 0,,75,76,
,La Costa,Las Toninas,6420010,,1.076,2,61,,- 0,,26,2.010,
BUENOS AIRES,,Mar de Ajó - San Bernardo,6420020,1.749,,33,8.970,891,,- 0,,15.970,
BUENOS AIRES,La Costa,,6420030,1.684,3.140,,358,- 0,- 0,- 0,,,
,La Costa,Santa Teresita - Mar del Tuyú,,,7.654,16,191,,- 0,,201,11.680,
BUENOS AIRES,La Costa,Aguas Verdes,,29,- 0,- 0,,- 0,- 0,,1,167,
,La Costa,Lucila Del Mar,,,943,- 0,,,- 0,- 0,,,
,La Matanza,20 De Junio,6427010,,682,4,- 0,,- 0,- 0,,713,
BUENOS AIRES,,,6427010,3,,,- 0,1,,- 0,1,3.159,
BUENOS AIRES,,Ciudad Evita,6427010,351,,27,3.175,31,,,99,13.821,
,La Matanza,Gonzalez Catán,6427010,,31.528,27,15.835,,7,- 0,,,
BUENOS AIRES,La Matanza,Gregorio De Laferrere,,,26.889,15,,29,- 0,- 0,1.451,,
,La Matanza,Isidro Casanova,,,21.818,34,,,- 0,- 0,253,49.342,
BUENOS AIRES,La Matanza,La Tablada,,365,15.630,2,,7,- 0,,933,16.947,
BUENOS AIRES,,Lomas Del Mirador,6427010,637,,11,4,13,,- 0,,,
BUENOS AIRES,La Matanza,,6427010,34,14.297,,9.215,7,- 0,- 0,,23.837,
BUENOS AIRES,,,6427010,818,,,7.809,95,,,19,45.844,
BUENOS AIRES,,San Justo,6427010,668,,101,13.387,111,,,857,40.058,
,La Matanza,Tapiales,,,3.719,27,,,1,- 0,,12.141,
,La Matanza,Villa  Eduardo Madero,6427010,,16.709,50,11.900,,- 0,- 0,,,
BUENOS AIRES,,Villa Luzuriaga,6427010,170,,1,30,1,,- 0,114,17.694,
BUENOS AIRES,La Matanza,,6427010,4.526,19.962,,1.128,- 0,,,367,25.983,
BUENOS AIRES,La Plata,Abasto,,376,608,- 0,,- 0,- 0,- 0,5,,
,La Plata,Angel Etcheverry,6441030,,700,- 0,- 0,,- 0,- 0,,,
BUENOS AIRES,La Plata,,6441030,- 0,183,,- 0,- 0,- 0,- 0,- 0,183,
BUENOS AIRES,,Barrio El Peligro,6441030,466,,,- 0,- 0,,,- 0,466,
BUENOS AIRES,,City Bell,6441030,- 0,,- 0,185,- 0,,- 0,,12.560,
BUENOS AIRES,,,6441030,63,,,- 0,- 0,,- 0,- 0,,
,La Plata,Ignacio Correas,6441020,,- 0,- 0,- 0,,- 0,,46,48,
,La Plata,Joaquin Gorina,,,876,- 0,,,- 0,- 0,- 0,1.001,
BUENOS AIRES,,,6441030,- 0,,,- 0,- 0,- 0,- 0,- 0,,
BUENOS AIRES,,Jose Melchor Romero,6441030,- 0,,- 0,- 0,- 0,,- 0,,934,
BUENOS AIRES,,,6441030,- 0,,,- 0,- 0,,- 0,145,145,
BUENOS AIRES,La Plata,,6441030,11.819,131.591,,39.467,805,9,,3.239,187.467,
,La Plata,Lisandro Olmos,,,2.592,- 0,,,- 0,- 0,- 0,,
BUENOS AIRES,La Plata,Los Hornos,,- 0,3.567,- 0,,- 0,- 0,- 0,,3.966,
BUENOS AIRES,La Plata,Manuel B Gonnet,,- 0,12.238,- 0,,,- 0,,- 0,12.408,
,La Plata,OTROS,Sin Datos,,22,- 0,9,,- 0,- 0,- 0,31,
BUENOS AIRES,La Plata,,6441030,- 0,,,89,- 0,- 0,- 0,,,
BUENOS AIRES,,Tolosa,6441030,- 0,,- 0,264,- 0,,- 0,- 0,,
,La Plata,Villa Elisa,6441030,,6.262,- 0,150,,- 0,,145,6.557,
,La Plata,Villa Elvira,,,4.556,- 0,,,- 0,,1.068,5.777,
BUENOS AIRES,La Plata,,6441030,292,- 0,,- 0,- 0,- 0,- 0,,,
BUENOS AIRES,,,6441030,- 0,,,1,- 0,,- 0,,1,
BUENOS AIRES,La Plata,Transradio,,- 0,- 0,- 0,,- 0,1,,- 0,1,
,La Plata,Arana,,,- 0,- 0,,,- 0,,129,129,
,La Plata,Villa Garibaldi,6441030,,- 0,- 0,- 0,,- 0,- 0,,904,
BUENOS AIRES,La Plata,Villa Parque Sicardi,,,- 0,- 0,,- 0,- 0,- 0,,,
BUENOS AIRES,,Barrio El Carmen Oeste,6441030,- 0,,- 0,- 0,- 0,,,145,145,
BUENOS AIRES,La Plata,,6441030,- 0,- 0,,- 0,- 0,,- 0,145,145,
,La Plata,Villa Montoro,,,- 0,- 0,,,- 0,- 0,145,,
,Lanús,Gerli,6434010,,6.313,14,5.985,,- 0,- 0,,,
,Lanús,Lanús Este,,,27.058,83,,82,1,,115,54.377,
,Lanús,Lanús Oeste,6434010,,12.264,1,14.118,,- 0,,364,26.747,
BUENOS AIRES,Lanús,,6434010,73,10.751,,16.020,71,,- 0,,26.962,
BUENOS AIRES,,Remedios Escalada De San Martin,6434010,65,,19,5.137,19,,- 0,344,,
BUENOS AIRES,,,6434010,192,,,12.001,91,,- 0,3,19.658,
BUENOS AIRES,Laprida,,6448010,- 0,22,,2.741,- 0,- 0,,- 0,2.763,
,Laprida,Pueblo Nuevo,,,- 0,- 0,,,- 0,- 0,,,
BUENOS AIRES,Laprida,Pueblo San Jorge,,- 0,- 0,- 0,,- 0,- 0,- 0,,117,
BUENOS AIRES,Las Flores,,6455030,2.063,- 0,,2.286,- 0,- 0,,809,5.158,
BUENOS AIRES,,Coronel Boerr,6455010,- 0,,- 0,- 0,- 0,,- 0,3,3,
,Las Flores,El Trigo,6455020,,- 0,- 0,1,,- 0,- 0,,,
BUENOS AIRES,Las Flores,Pardo,,- 0,- 0,- 0,,- 0,- 0,- 0,4,,
BUENOS AIRES,,Alberdi Viejo,6462010,2,,- 0,- 0,2,,,2,6,
BUENOS AIRES,,,6462020,- 0,,,11,- 0,1,- 0,136,148,
BUENOS AIRES,Leandro N. Alem,,6462030,- 0,- 0,,- 0,- 0,- 0,- 0,39,,
BUENOS AIRES,,,6462040,252,,,396,- 0,,- 0,,,
BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,,- 0,201,- 0,,- 0,- 0,- 0,55,256,
,Leandro N. Alem,Vedia,,,- 0,- 0,,,1,,1.201,2.721,
BUENOS AIRES,,,6469020,- 0,,,- 0,1,,- 0,,26,
BUENOS AIRES,Lincoln,,6469050,249,- 0,,- 0,- 0,- 0,- 0,,,
BUENOS AIRES,,,6469060,- 0,,,10,- 0,,,- 0,11,
BUENOS AIRES,Lincoln,,6469070,330,- 0,,- 0,- 0,- 0,,- 0,330,
,Lincoln,Lincoln,,,8.631,39,,,- 0,- 0,,,
BUENOS AIRES,Lincoln,Pasteur,,- 0,- 0,- 0,,- 0,2,- 0,,470,
BUENOS AIRES,Lincoln,Roberts,,- 0,- 0,1,,,- 0,,- 0,700,
,Lincoln,Arenaza,6469010,,- 0,- 0,293,,- 0,,- 0,293,
BUENOS AIRES,Lincoln,,6469040,- 0,,,- 0,- 0,- 0,- 0,,123,
BUENOS AIRES,,Lobería,6476030,753,,7,902,15,,- 0,716,,
,Lobería,San Manuel,6476050,,- 0,- 0,270,,1,- 0,144,446,
,Lobería,Arenas Verdes,,,- 0,- 0,,,- 0,,11,11,
BUENOS AIRES,Lobería,,6476020,- 0,- 0,,- 0,- 0,- 0,- 0,1,,
BUENOS AIRES,,,6476040,- 0,,,- 0,- 0,,- 0,,,
BUENOS AIRES,Lobería,Tamangueyú,,- 0,- 0,- 0,,- 0,- 0,- 0,28,28,
,Lobos,Antonio Carboni,,,- 0,1,,,- 0,,- 0,336,
,Lobos,Elvira,6483020,,- 0,- 0,- 0,,- 0,- 0,,92,
,Lobos,Lobos,,,787,10,,- 0,- 0,- 0,- 0,,
BUENOS AIRES,,Salvador María,6483050,87,,- 0,446,- 0,,,214,747,
BUENOS AIRES,Lomas De Zamora,,6490010,302,56.858,,9.731,180,,- 0,- 0,67.152,
,Lomas De Zamora,Llavallol,,,7.113,34,,,- 0,- 0,,,
,Lomas De Zamora,Lomas De Zamora,6490010,,35.053,112,11.600,,2,- 0,,49.949,
,Lomas De Zamora,Temperley,6490010,,25.314,19,,,2,- 0,- 0,34.528,
BUENOS AIRES,Lomas De Zamora,Turdera,,38,2.386,21,,1,- 0,,- 0,8.740,
BUENOS AIRES,,Villa Centenario,6490010,- 0,,- 0,174,- 0,,- 0,300,,
BUENOS AIRES,Lomas De Zamora,,6490010,- 0,165,,228,- 0,- 0,- 0,,1.059,
BUENOS AIRES,,,6497060,24,,,102,- 0,,,25,151,
BUENOS AIRES,,Carlos Keen,6497020,- 0,,- 0,- 0,- 0,,- 0,20,20,
,Luján,Cortines,,,- 0,- 0,,,- 0,- 0,,,
,Luján,José María Jáuregui (Est. Jáuregui),6497060,,1.001,- 0,2.094,,- 0,- 0,20,,
BUENOS AIRES,,Lezica y Torrezuri,6497060,- 0,,- 0,- 0,- 0,,- 0,38,38,
BUENOS AIRES,Luján,,6497060,2.440,12.829,,8.674,37,1,,2.755,26.773,
BUENOS AIRES,Luján,Olivera,,- 0,- 0,- 0,,- 0,- 0,- 0,42,,
,Luján,Open Door  (Est. Dr. Domingo Cabred),6497060,,- 0,4,- 0,,- 0,- 0,,359,
BUENOS AIRES,Luján,,Sin Datos,- 0,- 0,,- 0,- 0,- 0,,42,42,
BUENOS AIRES,,Torres,6497090,148,,,- 0,- 0,,,21,169,
BUENOS AIRES,,General Mansilla  (Est. Bartolomé Bavio),6505020,- 0,,- 0,409,- 0,,- 0,,953,
BUENOS AIRES,,,6505040,708,,,- 0,- 0,,437,,,
,Magdalena,Vieytes,6505060,,- 0,- 0,28,,- 0,,84,112,
,Magdalena,Atalaya,,,- 0,- 0,,,- 0,,- 0,353,
BUENOS AIRES,,,6505030,- 0,- 0,,46,- 0,- 0,- 0,- 0,,
BUENOS AIRES,,Roberto J. Payró,6505050,- 0,,- 0,- 0,- 0,,- 0,,,
BUENOS AIRES,Maipú,,6511010,99,- 0,,- 0,- 0,- 0,,54,153,
BUENOS AIRES,,,6511020,644,,7,1,1.100,,,20,1.772,
BUENOS AIRES,Maipú,Santo Domingo,,- 0,- 0,- 0,,- 0,1,- 0,,8,
,Malvinas Argentinas,Area De Promocion El Triángulo,6515010,,- 0,- 0,110,,- 0,- 0,,,
,Malvinas Argentinas,Grand Bourg,6515010,,6.382,- 0,5.342,,- 0,,- 0,15.307,
,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,,,3.068,- 0,,,- 0,,110,3.763,
BUENOS AIRES,,Ingeniero Pablo Nogués,6515010,1.069,,3,847,3,,- 0,1,,
BUENOS AIRES,,,6515010,269,,,6.166,5,,- 0,,12.915,
BUENOS AIRES,Malvinas Argentinas,Malvinas Argentinas,,- 0,76,- 0,,,- 0,,14,91,
,Malvinas Argentinas,Tortuguitas,6515010,,3.116,1,46,,- 0,- 0,- 0,8.953,
BUENOS AIRES,,Villa De Mayo,6515010,28,,3,2.568,5,,- 0,,,
BUENOS AIRES,Mar Chiquita,,6518010,3,1.508,,242,- 0,- 0,- 0,165,,
,Mar Chiquita,General Pirán,,,- 0,1,712,,- 0,,75,788,
BUENOS AIRES,Mar Chiquita,La Armonía,,- 0,- 0,- 0,,- 0,- 0,- 0,106,106,
,Mar Chiquita,Mar de Cobo,,,- 0,1,,,- 0,- 0,- 0,,
,Mar Chiquita,Santa Clara del Mar,6518060,,- 0,- 0,312,,- 0,- 0,,,
BUENOS AIRES,,,6518020,- 0,,,- 0,- 0,,- 0,98,98,
BUENOS AIRES,,La Caleta,6518020,- 0,,- 0,- 0,- 0,,,132,132,
,Mar Chiquita,Vivoratá,6518070,,- 0,- 0,205,,- 0,- 0,,281,
BUENOS AIRES,Marcos Paz,Marcos Paz,,,671,11,,6.084,1,- 0,,,
BUENOS AIRES,Mercedes,Mercedes,,1.214,6.309,59,,59,3,,1.588,11.992,
,Mercedes,Gowland,,,- 0,- 0,,,- 0,- 0,101,106,
BUENOS AIRES,Mercedes,,6532030,- 0,- 0,,- 0,- 0,- 0,- 0,,,
BUENOS AIRES,,,6539010,98,,,14.507,11,,- 0,1.756,,
BUENOS AIRES,,Mariano Acosta,6539010,4.444,,- 0,5.279,- 0,,- 0,8,16.605,
BUENOS AIRES,Merlo,,6539010,426,38.112,,23.280,121,,,1.055,63.063,
,Merlo,OTROS,Sin Datos,,- 0,- 0,1,,- 0,- 0,- 0,,
,Merlo,Pontevedra,,678,3.772,2,,- 0,- 0,- 0,,,
BUENOS AIRES,,,6539010,15,,,6.059,4,,,460,13.095,
BUENOS AIRES,,San Miguel del Monte  (Est. Monte),6547020,487,,3,3.775,- 0,,- 0,344,6.528,
,Monte,Abbott,,,- 0,- 0,,,1,- 0,,321,
BUENOS AIRES,Monte Hermoso,Balneario Sauce Grande,,31,- 0,- 0,,- 0,- 0,- 0,- 0,,
BUENOS AIRES,,,6553020,369,,,4.971,- 0,,,- 0,5.340,
BUENOS AIRES,Moreno,,6560010,- 0,31,,631,- 0,- 0,,145,811,
BUENOS AIRES,,,6560010,978,,,1.146,98,- 0,- 0,,,
BUENOS AIRES,,La Reja,6560010,61,,8,2.103,493,,- 0,,7.918,
BUENOS AIRES,Moreno,Moreno,,440,49.098,88,,268,3,,719,68.959,
,Moreno,Paso Del Rey,6560010,,6.523,- 0,1.763,,3,,100,8.389,
BUENOS AIRES,,Trujui,6560010,240,,14,12.338,2,,- 0,,,
BUENOS AIRES,,,6568010,6,,,11.020,12,,- 0,100,,
BUENOS AIRES,,El Palomar,6568010,205,,4,4.372,9,,,19,13.824,
BUENOS AIRES,Morón,,6568010,277,,,13.355,107,- 0,,33,23.761,
,Morón,Moron,6568010,,20.837,71,24.863,,3,- 0,14,,
BUENOS AIRES,Morón,Villa Sarmiento,,15,4.810,19,,,1,- 0,,9.795,
BUENOS AIRES,Navarro,Las Marianas,,- 0,- 0,- 0,,- 0,- 0,,207,207,
,Navarro,Navarro,,,1.728,3,,,1,- 0,252,3.906,
BUENOS AIRES,Navarro,,6574040,- 0,- 0,,6,- 0,- 0,- 0,,174,
BUENOS AIRES,,,6574010,- 0,,,- 0,- 0,,- 0,,,
,Necochea,Claraz,6581010,,- 0,- 0,- 0,,- 0,- 0,105,105,
BUENOS AIRES,Necochea,Juan N. Fernández,,525,- 0,- 0,,- 0,2,,113,640,
BUENOS AIRES,Necochea,,6581040,3.257,4.293,,14.085,156,,- 0,2.182,,
BUENOS AIRES,,Nicanor Olivera  (Est. La Dulce),6581050,1,,2,- 0,- 0,,- 0,,716,
BUENOS AIRES,Necochea,OTROS,,,- 0,- 0,,- 0,- 0,- 0,16,16,
,Necochea,Costa Bonita,6581040,,- 0,- 0,- 0,,- 0,,14,14,
,Necochea,Energía,,,- 0,- 0,,,- 0,- 0,,,
BUENOS AIRES,Olavarría,Hinojo,,13,- 0,- 0,,- 0,1,- 0,- 0,,
BUENOS AIRES,,,6595070,3.654,,,2.080,65,,,- 0,24.195,
BUENOS AIRES,Olavarría,,6595100,- 0,505,,- 0,- 0,- 0,- 0,- 0,505,
BUENOS AIRES,Olavarría,Sierras Bayas,,272,- 0,1,,- 0,- 0,- 0,,,
,Olavarría,Villa Alfredo Fortabat,,,- 0,- 0,- 0,,- 0,- 0,,194,
,Olavarría,Colonia Hinojo,6595070,,- 0,- 0,- 0,,- 0,- 0,1,1,
,OTROS,OTROS,,,- 0,- 0,,28.954,- 0,,- 0,28.961,
BUENOS AIRES,,Bahía San Blas,6602010,- 0,,1,- 0,- 0,,- 0,4,,
BUENOS AIRES,Patagones,,6602030,1.112,- 0,,4.159,29,,- 0,,5.338,
BUENOS AIRES,Patagones,,6602040,- 0,- 0,,- 0,1,- 0,,5,6,
BUENOS AIRES,,,6602050,- 0,,,- 0,1,,- 0,4,89,
BUENOS AIRES,Patagones,Stroeder,,- 0,- 0,1,,1,- 0,- 0,,,
,Patagones,Villalonga,,,- 0,7,,,- 0,- 0,245,,
BUENOS AIRES,,Chiclana,6609080,- 0,,- 0,- 0,- 0,,,9,9,
BUENOS AIRES,Pehuajó,,6609030,- 0,- 0,,- 0,- 0,- 0,,3,4,
BUENOS AIRES,Pehuajó,Juan José Paso,,- 0,- 0,- 0,,,- 0,- 0,,,
,Pehuajó,Magdala,6609050,,- 0,- 0,- 0,,- 0,- 0,,7,
BUENOS AIRES,,,6609060,- 0,,,- 0,- 0,- 0,,3,3,
BUENOS AIRES,,Pehuajó,6609080,4.347,,68,5,69,,,265,4.755,
BUENOS AIRES,,,6609020,- 0,,,- 0,- 0,,- 0,,3,
BUENOS AIRES,Pehuajó,,6609010,- 0,- 0,,- 0,- 0,- 0,- 0,,,
,Pehuajó,Inocencio Sosa,,,- 0,- 0,,,- 0,,3,3,
BUENOS AIRES,Pehuajó,Nueva Plata,,- 0,- 0,- 0,,- 0,- 0,- 0,3,3,
BUENOS AIRES,Pehuajó,,6609090,- 0,- 0,,- 0,- 0,- 0,- 0,3,,
BUENOS AIRES,,,6616030,311,,,- 0,- 0,,- 0,,,
BUENOS AIRES,,Acevedo,6623010,115,,- 0,- 0,- 0,,- 0,184,452,
BUENOS AIRES,,,6623020,33,,,96,- 0,,,4,133,
,Pergamino,Guerrico,6623030,,61,- 0,- 0,,- 0,- 0,,,
,Pergamino,Juan A. de la Peña,,,- 0,- 0,,,- 0,- 0,,51,
BUENOS AIRES,Pergamino,Juan Anchorena  (Est. Urquiza),,71,- 0,- 0,,- 0,- 0,,5,293,
,Pergamino,La Violeta,6623060,,- 0,- 0,- 0,,1,,- 0,1,
BUENOS AIRES,Pergamino,,6623070,- 0,- 0,,448,- 0,- 0,- 0,,492,
BUENOS AIRES,,Mariano H. Alfonzo  (Est. San Patricio),6623090,- 0,,,- 0,- 0,,- 0,,,
,Pergamino,Pergamino,,,18.621,82,,,2,- 0,524,22.675,
BUENOS AIRES,Pergamino,Pinzón,,- 0,- 0,- 0,,- 0,- 0,,1,1,
BUENOS AIRES,,,6623120,109,,,102,- 0,,- 0,- 0,,
BUENOS AIRES,,Villa San José,6623140,- 0,,- 0,3,- 0,,- 0,,,
,Pila,Casalins,,,- 0,- 0,,,- 0,- 0,5,5,
,Pila,Pila,6630020,,- 0,1,1,,- 0,,48,50,
,Pilar,Del Viso,6638040,,3.181,- 0,,,- 0,- 0,,22.261,
BUENOS AIRES,Pilar,Fátima,,40,52,- 0,,- 0,- 0,- 0,2,,
BUENOS AIRES,,La Lonja,6638040,3.245,,- 0,19,- 0,,,467,5.137,
BUENOS AIRES,Pilar,,6638040,- 0,3.002,,- 0,- 0,- 0,- 0,- 0,3.002,
BUENOS AIRES,Pilar,Manzanares,,- 0,166,- 0,,- 0,- 0,- 0,3,,
,Pilar,Maquinista F. Savio (oeste),,,- 0,- 0,,,- 0,- 0,,54,
,Pilar,OTROS,,,1,- 0,,,- 0,,268,274,
,Pilar,Pilar,6638040,,26.119,35,8.989,,4,90,629,39.506,
BUENOS AIRES,,,6638040,1.565,,,83,- 0,,- 0,,7.790,
BUENOS AIRES,,Santa Teresa,6638040,- 0,,- 0,- 0,- 0,,- 0,- 0,,
BUENOS AIRES,,Tortuguitas,6638040,- 0,,- 0,2,- 0,,- 0,3,7,
BUENOS AIRES,Pilar,,6638040,- 0,1.387,,1,- 0,- 0,,9,1.397,
,Pilar,Villa Rosa,,,7.191,3,197,,- 0,360,441,,
BUENOS AIRES,Pilar,Zelaya,,30,6,- 0,,2,- 0,- 0,,,
BUENOS AIRES,Pilar,,6638040,- 0,1.847,,514,- 0,- 0,,- 0,2.361,
BUENOS AIRES,,,6644010,12.458,,,10.867,1.000,,,- 0,26.906,
,Pinamar,Carilo,6644010,,1.510,- 0,- 0,,- 0,- 0,,1.510,
,Pinamar,Ostende,,,246,- 0,,,- 0,- 0,,,
BUENOS AIRES,,Valeria del Mar,6644010,- 0,,- 0,- 0,- 0,,,- 0,3,
BUENOS AIRES,,,6648010,77,,,6.236,8,,,113,20.086,
BUENOS AIRES,Puán,,6651020,- 0,- 0,,54,- 0,1,- 0,,,
BUENOS AIRES,,,6651030,238,,1,1.110,- 0,,- 0,,2.382,
BUENOS AIRES,Puán,Puán,,- 0,2.001,- 0,,- 0,1,- 0,75,2.078,
,Puán,Villa Iris,6651110,,- 0,- 0,425,,- 0,,356,805,
BUENOS AIRES,,,6651090,- 0,,,- 0,- 0,,- 0,,,
BUENOS AIRES,Punta Indio,,6655030,- 0,114,,- 0,- 0,- 0,- 0,- 0,,
BUENOS AIRES,,,6655050,227,,,6,- 0,- 0,,- 0,1.049,
BUENOS AIRES,,Punta Indio,6655040,- 0,,- 0,- 0,- 0,,- 0,115,115,
BUENOS AIRES,Quilmes,Bernal,,135,20.997,69,,,1,- 0,,30.764,
,Quilmes,Bernal Oeste,6658010,,3.710,3,1.790,,- 0,- 0,,,
,Quilmes,Don Bosco,,,3.011,- 0,,,- 0,,- 0,3.016,
BUENOS AIRES,Quilmes,Ezpeleta,,112,13.506,8,,16,- 0,,319,16.511,
BUENOS AIRES,,,6658010,48,,,3.924,16,,- 0,,,
BUENOS AIRES,Quilmes,,6658010,88,48.607,,12.329,172,2,- 0,,61.417,
BUENOS AIRES,Quilmes,Quilmes Oeste,,113,7.693,48,,40,- 0,,2,21.622,
,Quilmes,San Francisco Solano,6658010,,11.218,- 0,37,,- 0,- 0,114,11.400,
BUENOS AIRES,,Villa La Florida,6658010,22,,5,6.909,- 0,,- 0,,,
BUENOS AIRES,Ramallo,,6665010,- 0,- 0,,- 0,30,- 0,- 0,- 0,,
,Ramallo,OTROS,Sin Datos,,- 0,- 0,- 0,,- 0,,- 0,10,
,Ramallo,Pérez Millán,,,- 0,- 0,,- 0,- 0,- 0,- 0,1,
BUENOS AIRES,Ramallo,RAMALLO,,411,1.128,- 0,,1.177,1,- 0,2,,
,Ramallo,VILLA RAMALLO,,,1.899,- 0,,,- 0,- 0,,2.742,
BUENOS AIRES,Rauch,,Sin Datos,- 0,- 0,,- 0,- 0,- 0,- 0,15,15,
BUENOS AIRES,,,6672010,1.001,,,514,- 0,,,93,1.617,
,Rivadavia,América,,,928,- 0,,,1,- 0,,3.504,
BUENOS AIRES,Rivadavia,Fortín Olavarría,,272,- 0,- 0,,- 0,- 0,- 0,- 0,,
,Rivadavia,González Moreno,,,- 0,- 0,,,- 0,- 0,1,1,
BUENOS AIRES,Rivadavia,Sansinena,,- 0,- 0,- 0,,- 0,- 0,,175,343,
BUENOS AIRES,,,6686020,- 0,,,195,- 0,,- 0,47,,
BUENOS AIRES,Rojas,,6686060,595,3.485,,1.160,- 0,- 0,- 0,,,
BUENOS AIRES,Rojas,,6686040,- 0,- 0,,- 0,- 0,,,26,26,
BUENOS AIRES,,Carlos Beguerie,6693010,- 0,,- 0,- 0,- 0,,- 0,116,116,
BUENOS AIRES,Roque Pérez,Roque Pérez,,,1.930,1,,- 0,- 0,- 0,,,
,Saavedra,Espartillar,6700040,,- 0,- 0,314,,- 0,- 0,79,,
BUENOS AIRES,,Pigüé,6700060,859,,3,3.031,- 0,,,- 0,3.893,
BUENOS AIRES,,,6700070,- 0,,,9,- 0,,,23,32,
BUENOS AIRES,Saavedra,Goyena,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
,Saavedra,Arroyo Corto,,,- 0,- 0,,,- 0,- 0,,259,
BUENOS AIRES,Saladillo,,6707040,- 0,- 0,,- 0,- 0,- 0,,2,2,
BUENOS AIRES,,,6707060,664,,,3.575,1,,,418,9.309,
BUENOS AIRES,,Cazón,6707030,- 0,,- 0,38,- 0,,- 0,,38,
BUENOS AIRES,Saladillo,,6707010,- 0,,,25,- 0,1,- 0,- 0,,
,Salliqueló,Quenumá,6721010,,- 0,- 0,- 0,,- 0,,- 0,36,
BUENOS AIRES,Salliqueló,Salliqueló,,151,- 0,3,,,2,,- 0,156,
BUENOS AIRES,,,6714010,438,,,51,- 0,,- 0,37,,
BUENOS AIRES,,Gahan,6714030,181,,- 0,- 0,- 0,,- 0,,181,
BUENOS AIRES,,Inés Indart,6714040,- 0,,- 0,15,189,,,- 0,206,
BUENOS AIRES,Salto,,6714060,931,1.325,,7.636,- 0,- 0,,- 0,9.893,
,San Andrés de Giles,Azcuénaga,6728010,,- 0,- 0,55,,- 0,- 0,,116,
,San Andrés de Giles,San Andrés de Giles,,,665,1,,486,1,- 0,,,
BUENOS AIRES,San Andrés de Giles,Solís,,46,- 0,- 0,,- 0,1,- 0,107,415,
,San Andrés de Giles,Villa Ruiz,,,- 0,- 0,,,- 0,,86,226,
BUENOS AIRES,San Andrés de Giles,,6728060,- 0,- 0,,- 0,- 0,- 0,- 0,,,
BUENOS AIRES,,,6728020,- 0,,,- 0,218,,- 0,,242,
,San Antonio de Areco,San Antonio de Areco,,,1.826,5,,,2,,2.223,7.889,
BUENOS AIRES,San Antonio de Areco,Villa Lía,,190,- 0,- 0,,- 0,- 0,- 0,56,491,
BUENOS AIRES,,,6735010,- 0,,,231,- 0,- 0,- 0,,509,
BUENOS AIRES,,Balneario San Cayetano,6742010,- 0,,- 0,113,- 0,,- 0,1,,
BUENOS AIRES,San Cayetano,San Cayetano,,146,984,- 0,,,- 0,,268,2.300,
